State,County,Cases as of 10/12/2020,90th Percentile AQI,Days Ozone,Days PM2.5,Mean Temp,Population Density (2010)
Texas,Rusk,970,57,0,0,68.6,57.7
Texas,Smith,5559,51,360,0,68.2,227.6
Texas,Tarrant,56159,74,216,133,69.3,2094.7
Texas,Titus,1514,11,0,0,67.7,79.6
Texas,Travis,30389,63,178,180,72,1034.4
Texas,Victoria,4159,48,341,0,75.2,98.4
Texas,Webb,14473,67,138,225,75.9,74.5
Virginia,Albemarle,1443,48,233,49,60.6,137.3
Virginia,Alexandria City,4045,8,0,0,61.6,9314.3
Virginia,Arlington,4228,60,228,38,61,7993.6
Virginia,Botetourt,339,16,0,0,58.7,61.2
Virginia,Bristol City,216,45,0,117,59.8,1370.6
Virginia,Caroline,384,48,239,0,61.5,54.1
Virginia,Carroll,534,15,0,0,56.2,63.3
Virginia,Charles,88,47,218,47,63.7,39.7
Virginia,Chesterfield,6458,50,235,45,62.6,747.1
Virginia,Covington City,33,29,0,0,58.3,1090.2
Virginia,Fairfax,22185,61,167,160,60.8,2766.8
Virginia,Fauquier,1020,45,233,0,59.6,100.7
Virginia,Frederick,1034,49,203,162,57.7,189.4
Virginia,Giles,101,59,296,0,55.9,48.6
Virginia,Hanover,1468,54,243,0,61.8,213.1
Virginia,Henrico,5801,50,302,40,62.5,1313.4
Virginia,Loudoun,7303,53,211,48,59.5,605.8
Virginia,Lynchburg City,1726,43,0,108,61.5,1538.2
Virginia,Madison,117,50,353,9,59,41.5
Virginia,Norfolk City,5085,36,0,101,56.6,4486.4
Virginia,Prince Edward,679,44,358,0,61.4,66.83
Virginia,Prince William,13281,48,245,0,61,1195
Virginia,Richmond City,4978,53,0,271,62.4,3414.7
Virginia,Roanoke,2212,50,203,105,59,368.7
Virginia,Rockbridge,143,46,239,15,58.2,37.3
Virginia,Rockingham,1640,48,227,44,57.4,89.9
Virginia,Salem City,382,45,0,118,60.5,1717.9
Virginia,Stafford,2174,49,240,0,61.3,479.5
Virginia,Suffolk City,2204,50,245,0,64.2,211.4
Virginia,Virginia Beach City,7351,48,0,115,64.8,1758.9
Virginia,Winchester City,538,14,0,0,58.3,2838
Virginia,Wythe,285,48,242,0,55.9,63.3
